[i] Train : 24379
[i] Valid : 2709
[i] pred_bboxes_op : Tensor("concat:0", shape=(8, 54560, 4), dtype=float32)
[i] pred_classes_op : Tensor("concat_1:0", shape=(8, 54560, 21), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(8, 54560, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(8, 54560, 21), dtype=float32)
[i] max_iteration : 304700
[i] decay_iteration : [152350 228525]
[i] iter : 4150, loss : 43.4072, focal_loss : 0.7675, giou_loss : 0.2832, l2_reg_loss : 42.3566, train_time : 37sec
[i] iter : 4200, loss : 43.1611, focal_loss : 0.6584, giou_loss : 0.2741, l2_reg_loss : 42.2286, train_time : 38sec
[i] iter : 4250, loss : 43.0156, focal_loss : 0.6458, giou_loss : 0.2703, l2_reg_loss : 42.0995, train_time : 38sec
[i] iter : 4300, loss : 42.9072, focal_loss : 0.6652, giou_loss : 0.2716, l2_reg_loss : 41.9705, train_time : 38sec
[i] iter : 4350, loss : 42.8090, focal_loss : 0.6916, giou_loss : 0.2755, l2_reg_loss : 41.8419, train_time : 38sec
[i] iter : 4400, loss : 42.6071, focal_loss : 0.6213, giou_loss : 0.2721, l2_reg_loss : 41.7137, train_time : 37sec
[i] iter : 4450, loss : 42.4559, focal_loss : 0.6012, giou_loss : 0.2692, l2_reg_loss : 41.5855, train_time : 37sec
[i] iter : 4500, loss : 42.3898, focal_loss : 0.6591, giou_loss : 0.2730, l2_reg_loss : 41.4577, train_time : 37sec
[i] iter : 4550, loss : 42.2268, focal_loss : 0.6301, giou_loss : 0.2665, l2_reg_loss : 41.3301, train_time : 37sec
[i] iter : 4600, loss : 42.0838, focal_loss : 0.6182, giou_loss : 0.2629, l2_reg_loss : 41.2027, train_time : 37sec
[i] iter : 4650, loss : 41.9852, focal_loss : 0.6368, giou_loss : 0.2728, l2_reg_loss : 41.0757, train_time : 37sec
[i] iter : 4700, loss : 41.8368, focal_loss : 0.6219, giou_loss : 0.2656, l2_reg_loss : 40.9492, train_time : 38sec
[i] iter : 4750, loss : 41.6998, focal_loss : 0.6138, giou_loss : 0.2629, l2_reg_loss : 40.8230, train_time : 37sec
[i] iter : 4800, loss : 41.5726, focal_loss : 0.6104, giou_loss : 0.2654, l2_reg_loss : 40.6968, train_time : 37sec
[i] iter : 4850, loss : 41.4529, focal_loss : 0.6185, giou_loss : 0.2633, l2_reg_loss : 40.5711, train_time : 38sec
[i] iter : 4900, loss : 41.3925, focal_loss : 0.6746, giou_loss : 0.2722, l2_reg_loss : 40.4457, train_time : 37sec
[i] iter : 4950, loss : 41.4409, focal_loss : 0.8352, giou_loss : 0.2799, l2_reg_loss : 40.3257, train_time : 37sec
[i] iter : 5000, loss : 41.1690, focal_loss : 0.6852, giou_loss : 0.2795, l2_reg_loss : 40.2043, train_time : 38sec
[i] best focal loss : 0.73%
[i] best giou loss : 0.27%
[i] valid loss : 0.504137, best valid loss : 0.504137%
[i] iter : 5050, loss : 41.0054, focal_loss : 0.6567, giou_loss : 0.2681, l2_reg_loss : 40.0807, train_time : 234sec
[i] iter : 5100, loss : 40.8221, focal_loss : 0.6027, giou_loss : 0.2620, l2_reg_loss : 39.9574, train_time : 38sec
[i] iter : 5150, loss : 40.7592, focal_loss : 0.6553, giou_loss : 0.2695, l2_reg_loss : 39.8345, train_time : 38sec
[i] iter : 5200, loss : 40.5704, focal_loss : 0.5976, giou_loss : 0.2610, l2_reg_loss : 39.7118, train_time : 38sec
[i] iter : 5250, loss : 40.4722, focal_loss : 0.6237, giou_loss : 0.2590, l2_reg_loss : 39.5895, train_time : 38sec
[i] iter : 5300, loss : 40.3632, focal_loss : 0.6282, giou_loss : 0.2675, l2_reg_loss : 39.4676, train_time : 38sec
[i] iter : 5350, loss : 40.1911, focal_loss : 0.5890, giou_loss : 0.2566, l2_reg_loss : 39.3456, train_time : 38sec
[i] iter : 5400, loss : 40.1425, focal_loss : 0.6581, giou_loss : 0.2601, l2_reg_loss : 39.2244, train_time : 38sec
[i] iter : 5450, loss : 40.1293, focal_loss : 0.7610, giou_loss : 0.2633, l2_reg_loss : 39.1050, train_time : 38sec
[i] iter : 5500, loss : 40.0570, focal_loss : 0.7910, giou_loss : 0.2753, l2_reg_loss : 38.9907, train_time : 39sec
[i] iter : 5550, loss : 39.8331, focal_loss : 0.6947, giou_loss : 0.2665, l2_reg_loss : 38.8719, train_time : 40sec
[i] iter : 5600, loss : 39.6775, focal_loss : 0.6590, giou_loss : 0.2657, l2_reg_loss : 38.7528, train_time : 39sec
[i] iter : 5650, loss : 39.5369, focal_loss : 0.6369, giou_loss : 0.2662, l2_reg_loss : 38.6338, train_time : 38sec
[i] iter : 5700, loss : 39.3786, focal_loss : 0.6035, giou_loss : 0.2601, l2_reg_loss : 38.5151, train_time : 38sec
[i] iter : 5750, loss : 39.2688, focal_loss : 0.6112, giou_loss : 0.2611, l2_reg_loss : 38.3965, train_time : 38sec
[i] iter : 5800, loss : 39.1852, focal_loss : 0.6398, giou_loss : 0.2673, l2_reg_loss : 38.2781, train_time : 38sec
[i] iter : 5850, loss : 39.0154, focal_loss : 0.5981, giou_loss : 0.2566, l2_reg_loss : 38.1607, train_time : 39sec
[i] iter : 5900, loss : 38.9320, focal_loss : 0.6243, giou_loss : 0.2648, l2_reg_loss : 38.0428, train_time : 38sec
[i] iter : 5950, loss : 38.8099, focal_loss : 0.6239, giou_loss : 0.2608, l2_reg_loss : 37.9252, train_time : 38sec
[i] iter : 6000, loss : 38.7057, focal_loss : 0.6355, giou_loss : 0.2625, l2_reg_loss : 37.8077, train_time : 39sec
[i] iter : 6050, loss : 38.5602, focal_loss : 0.6097, giou_loss : 0.2595, l2_reg_loss : 37.6910, train_time : 38sec
[i] iter : 6100, loss : 38.4358, focal_loss : 0.6039, giou_loss : 0.2575, l2_reg_loss : 37.5744, train_time : 38sec
[i] iter : 6150, loss : 38.3596, focal_loss : 0.6368, giou_loss : 0.2638, l2_reg_loss : 37.4590, train_time : 38sec
[i] iter : 6200, loss : 38.3137, focal_loss : 0.7049, giou_loss : 0.2640, l2_reg_loss : 37.3448, train_time : 39sec
[i] iter : 6250, loss : 38.0789, focal_loss : 0.5894, giou_loss : 0.2591, l2_reg_loss : 37.2304, train_time : 39sec
[i] iter : 6300, loss : 38.0004, focal_loss : 0.6281, giou_loss : 0.2570, l2_reg_loss : 37.1153, train_time : 39sec
[i] iter : 6350, loss : 38.0714, focal_loss : 0.7924, giou_loss : 0.2727, l2_reg_loss : 37.0063, train_time : 38sec
[i] iter : 6400, loss : 37.8205, focal_loss : 0.6728, giou_loss : 0.2510, l2_reg_loss : 36.8968, train_time : 38sec
[i] iter : 6450, loss : 37.7056, focal_loss : 0.6595, giou_loss : 0.2610, l2_reg_loss : 36.7852, train_time : 38sec
[i] iter : 6500, loss : 37.6594, focal_loss : 0.7213, giou_loss : 0.2639, l2_reg_loss : 36.6742, train_time : 38sec
[i] iter : 6550, loss : 37.4378, focal_loss : 0.6257, giou_loss : 0.2489, l2_reg_loss : 36.5633, train_time : 38sec
[i] iter : 6600, loss : 37.2580, focal_loss : 0.5551, giou_loss : 0.2511, l2_reg_loss : 36.4518, train_time : 39sec
[i] iter : 6650, loss : 37.2148, focal_loss : 0.6194, giou_loss : 0.2549, l2_reg_loss : 36.3405, train_time : 38sec
[i] iter : 6700, loss : 37.1084, focal_loss : 0.6231, giou_loss : 0.2558, l2_reg_loss : 36.2296, train_time : 38sec
[i] iter : 6750, loss : 36.9843, focal_loss : 0.6087, giou_loss : 0.2566, l2_reg_loss : 36.1189, train_time : 38sec
[i] iter : 6800, loss : 36.8286, focal_loss : 0.5688, giou_loss : 0.2519, l2_reg_loss : 36.0079, train_time : 38sec
[i] iter : 6850, loss : 36.7459, focal_loss : 0.6035, giou_loss : 0.2453, l2_reg_loss : 35.8972, train_time : 38sec
[i] iter : 6900, loss : 36.6368, focal_loss : 0.5895, giou_loss : 0.2604, l2_reg_loss : 35.7870, train_time : 38sec
[i] iter : 6950, loss : 36.5254, focal_loss : 0.5980, giou_loss : 0.2507, l2_reg_loss : 35.6767, train_time : 38sec
[i] iter : 7000, loss : 36.4673, focal_loss : 0.6496, giou_loss : 0.2501, l2_reg_loss : 35.5676, train_time : 38sec
[i] iter : 7050, loss : 36.3243, focal_loss : 0.6194, giou_loss : 0.2456, l2_reg_loss : 35.4592, train_time : 39sec
[i] iter : 7100, loss : 36.1919, focal_loss : 0.5978, giou_loss : 0.2433, l2_reg_loss : 35.3509, train_time : 39sec
[i] iter : 7150, loss : 36.0790, focal_loss : 0.5883, giou_loss : 0.2477, l2_reg_loss : 35.2429, train_time : 38sec
[i] iter : 7200, loss : 35.9299, focal_loss : 0.5445, giou_loss : 0.2513, l2_reg_loss : 35.1341, train_time : 39sec
[i] iter : 7250, loss : 35.8605, focal_loss : 0.5754, giou_loss : 0.2595, l2_reg_loss : 35.0257, train_time : 39sec
[i] iter : 7300, loss : 35.7397, focal_loss : 0.5758, giou_loss : 0.2466, l2_reg_loss : 34.9173, train_time : 38sec
[i] iter : 7350, loss : 35.7048, focal_loss : 0.6388, giou_loss : 0.2561, l2_reg_loss : 34.8100, train_time : 38sec
[i] iter : 7400, loss : 35.6853, focal_loss : 0.7171, giou_loss : 0.2631, l2_reg_loss : 34.7051, train_time : 39sec
[i] iter : 7450, loss : 35.4817, focal_loss : 0.6312, giou_loss : 0.2514, l2_reg_loss : 34.5991, train_time : 38sec
[i] iter : 7500, loss : 35.3303, focal_loss : 0.5817, giou_loss : 0.2558, l2_reg_loss : 34.4928, train_time : 38sec
[i] iter : 7550, loss : 35.2344, focal_loss : 0.5972, giou_loss : 0.2504, l2_reg_loss : 34.3867, train_time : 38sec
[i] iter : 7600, loss : 35.1267, focal_loss : 0.5924, giou_loss : 0.2530, l2_reg_loss : 34.2813, train_time : 39sec
[i] iter : 7650, loss : 35.0350, focal_loss : 0.6107, giou_loss : 0.2483, l2_reg_loss : 34.1761, train_time : 38sec
[i] iter : 7700, loss : 34.9611, focal_loss : 0.6437, giou_loss : 0.2442, l2_reg_loss : 34.0732, train_time : 38sec
[i] iter : 7750, loss : 34.8788, focal_loss : 0.6449, giou_loss : 0.2626, l2_reg_loss : 33.9714, train_time : 38sec
[i] iter : 7800, loss : 34.7355, focal_loss : 0.6099, giou_loss : 0.2573, l2_reg_loss : 33.8683, train_time : 39sec
[i] iter : 7850, loss : 34.6625, focal_loss : 0.6436, giou_loss : 0.2537, l2_reg_loss : 33.7651, train_time : 39sec
[i] iter : 7900, loss : 34.5986, focal_loss : 0.6822, giou_loss : 0.2509, l2_reg_loss : 33.6655, train_time : 38sec
[i] iter : 7950, loss : 34.5747, focal_loss : 0.7414, giou_loss : 0.2635, l2_reg_loss : 33.5697, train_time : 38sec
[i] iter : 8000, loss : 34.3328, focal_loss : 0.6096, giou_loss : 0.2535, l2_reg_loss : 33.4697, train_time : 38sec
[i] iter : 8050, loss : 34.2543, focal_loss : 0.6307, giou_loss : 0.2547, l2_reg_loss : 33.3689, train_time : 39sec
[i] iter : 8100, loss : 34.2207, focal_loss : 0.6983, giou_loss : 0.2517, l2_reg_loss : 33.2706, train_time : 38sec
[i] iter : 8150, loss : 34.1019, focal_loss : 0.6748, giou_loss : 0.2540, l2_reg_loss : 33.1732, train_time : 39sec
[i] iter : 8200, loss : 33.9383, focal_loss : 0.6153, giou_loss : 0.2490, l2_reg_loss : 33.0740, train_time : 38sec
[i] iter : 8250, loss : 33.8915, focal_loss : 0.6581, giou_loss : 0.2583, l2_reg_loss : 32.9750, train_time : 38sec
[i] iter : 8300, loss : 33.7148, focal_loss : 0.5914, giou_loss : 0.2472, l2_reg_loss : 32.8762, train_time : 39sec
[i] iter : 8350, loss : 33.6337, focal_loss : 0.6095, giou_loss : 0.2470, l2_reg_loss : 32.7772, train_time : 38sec
[i] iter : 8400, loss : 33.5389, focal_loss : 0.6113, giou_loss : 0.2489, l2_reg_loss : 32.6788, train_time : 38sec
[i] iter : 8450, loss : 33.4138, focal_loss : 0.5866, giou_loss : 0.2463, l2_reg_loss : 32.5809, train_time : 38sec
